Team,Active Players,Age,Pos.,Status,Base Salary,Payroll %,Country
Arizona Diamondbacks,Madison Bumgarner,32,SP,Vet,"$23,000,000",20.41,
Arizona Diamondbacks,Ketel Marte,28,2B,Vet,"$8,000,000",9.64,Dominican Republic
Arizona Diamondbacks,Nick Ahmed,32,SS,Vet,"$7,750,000",9.21,
Arizona Diamondbacks,David Peralta,34,LF,Vet,"$8,000,000",9.07,Venezuela
Arizona Diamondbacks,Mark Melancon,37,RP/CL,Vet,"$6,000,000",6.80,
Arizona Diamondbacks,Merrill Kelly,33,SP,Arb 1,"$5,250,000",6.33,
Arizona Diamondbacks,Ian Kennedy,37,RP,Vet,"$4,750,000",5.39,
Arizona Diamondbacks,Carson Kelly,27,C,Arb 2,"$3,325,000",3.77,
Arizona Diamondbacks,Christian Walker,31,1B,Arb 1,"$2,600,000",2.95,
Arizona Diamondbacks,Zach Davies,29,SP,Vet,"$1,500,000",1.70,
Arizona Diamondbacks,Jordan Luplow,28,OF,Arb 1,"$1,400,000",1.59,
Arizona Diamondbacks,Noe Ramirez,32,RP,Arb 2,"$1,250,000",1.42,
Arizona Diamondbacks,J.B. Wendelken,29,RP,Arb 1,"$835,000",0.95,
Arizona Diamondbacks,Zac Gallen,26,SP,Pre-Arb,"$745,600",0.85,
Arizona Diamondbacks,Pavin Smith,26,RF,Pre-Arb,"$722,900",0.82,
Arizona Diamondbacks,Daulton Varsho,25,CF,Pre-Arb,"$721,700",0.82,
Arizona Diamondbacks,Joe Mantiply,31,RP,Pre-Arb,"$717,000",0.81,
Arizona Diamondbacks,Humberto Castellanos,24,SP,Pre-Arb,"$713,700",0.81,Mexico
Arizona Diamondbacks,Sergio Alcantara,25,3B,Pre-Arb,"$712,500",0.81,Dominican Republic
Arizona Diamondbacks,Geraldo Perdomo,22,SS,Pre-Arb,"$701,300",0.80,Dominican Republic
Arizona Diamondbacks,Seth Beer,25,DH,Pre-Arb,"$701,000",0.79,
Arizona Diamondbacks,Jose Herrera,25,C,Pre-Arb,"$700,000",0.79,Venezuela
Arizona Diamondbacks,Cooper Hummel,27,DH,Pre-Arb,"$700,000",0.79,
Arizona Diamondbacks,Corbin Martin,26,RP,Pre-Arb,"$705,100",0.79,
Arizona Diamondbacks,Kyle Nelson,25,RP,Pre-Arb,"$700,000",0.76,
Arizona Diamondbacks,Matt Davidson,31,1B,Arb 1,"$700,000",0.71,
Arizona Diamondbacks,Taylor Widener,27,RP,Pre-Arb,"$700,000",0.70,
Arizona Diamondbacks,Tyler Gilbert,28,RP,Pre-Arb,"$700,000",0.70,
Atlanta Braves,Charlie Morton,38,SP,Vet,"$20,000,000",11.12,
